Date,Open,High,Low,Close,Adj Close,Volume
2000-06-14,1202.364258,1226.703491,1202.364258,1202.364258,941.164734,84745
2000-06-15,1221.835693,1231.571411,1216.967773,1216.967773,952.596130,1193129
2000-06-16,1216.967773,1216.967773,1216.967773,1216.967773,952.596130,0
2000-06-19,1216.967773,1216.967773,1216.967773,1216.967773,952.596130,0
2000-06-20,1216.967773,1226.703491,1216.967773,1216.967773,952.596130,70878
2000-06-21,1216.967773,1221.835693,1216.967773,1216.967773,952.596130,30613
2000-06-22,1216.967773,1216.967773,1207.232056,1207.232056,944.975464,80348
2000-06-23,1207.232056,1212.099854,1187.760620,1187.760620,929.733887,265187
2000-06-26,1187.760620,1187.760620,1168.289063,1168.289063,914.492004,243477
2000-06-27,1163.421143,1168.289063,1153.685547,1153.685547,903.060974,46601
2000-06-28,1148.817627,1148.817627,1109.874634,1109.874634,868.767456,1098805
2000-06-29,1148.817627,1148.817627,1119.610352,1119.610352,876.388123,106735
2000-06-30,1109.874634,1119.610352,1095.270996,1095.270996,857.336182,3992
2000-07-03,1070.931641,1070.931641,1051.460205,1051.460205,823.042908,33102
2000-07-04,1061.195923,1070.931641,1061.195923,1061.195923,830.663513,24250
2000-07-05,1070.931641,1070.931641,1046.592285,1046.592285,819.232361,96583
2000-07-06,1070.931641,1070.931641,1061.195923,1061.195923,830.663513,6194
2000-07-07,1061.195923,1061.195923,1061.195923,1061.195923,830.663513,0
2000-07-10,1061.195923,1070.931641,1061.195923,1061.195923,830.663513,272963
2000-07-11,1061.195923,1061.195923,1056.328003,1056.328003,826.853271,290646
2000-07-12,1061.195923,1061.195923,1051.460205,1051.460205,823.042908,320132
2000-07-13,1051.460205,1051.460205,1041.724365,1041.724365,815.421997,64306
2000-07-14,1036.856567,1041.724365,1036.856567,1036.856567,811.611450,468667
2000-07-17,1046.592285,1070.931641,1046.592285,1046.592285,819.232361,266543
2000-07-18,1046.592285,1046.592285,1036.856567,1036.856567,811.611450,441540
2000-07-19,1041.724365,1041.724365,1031.988647,1031.988647,807.801208,406316
2000-07-20,1036.856567,1041.724365,1036.856567,1036.856567,811.611450,31221
2000-07-21,1041.724365,1051.460205,1041.724365,1041.724365,815.421997,182810
2000-07-24,1041.724365,1041.724365,1041.724365,1041.724365,815.421997,0
2000-07-25,1061.195923,1061.195923,1051.460205,1051.460205,823.042908,14440
2000-07-26,1070.931641,1070.931641,1041.724365,1041.724365,815.421997,17403
2000-07-27,1041.724365,1041.724365,1041.724365,1041.724365,815.421997,0
